id,chitty_id,name,event_type,sub_type,description,start_time,end_time,duration,location_id,primary_person_id,secondary_person_id,related_thing_id,parent_event_id,amount,currency,status,outcome,witness_ids,evidence_ids,authority_ids,is_confidential,metadata,verification_status,last_verified,created_at,updated_at,source_file,source_hash,tz_original,confidence,start_time_parsed
72c8d924-26ee-47c7-bc3e-bd6d5f0a1712,md_document_index_0,# Legal Case Document Index,other,,,2025-09-20T18:27:29.215115+00:00,,,,,,,,,USD,COMPLETED,,[],[],[],False,"{'entities': [], 'file_type': 'markdown'}",PENDING,,2025-09-20T18:27:29.215126+00:00,2025-09-20T18:27:29.215128+00:00,document_index.md,9c12064ee7f36d778e5319437798aacb37043eefb3218e11bded6b1fa286eb51,UTC,medium,2025-09-20 18:27:29.215115+00:00
badabe50-3ff6-4158-b701-6e150f0c7028,md_document_index_1,Summary Statistics,other,,"- **Total Files**: 237
- **File Types**: PDF (165), PNG (36), DOCX (7), JPG/JPEG (9), TXT (1), XLSX (1), CSV (1), ZIP (2)
- **Categories**:
  - PETITION: 18 files
  - GOV (Governance/LLC): 42 files
  - COMM (Communications): 77 files
  - TITLE (Property): 19 files
  - LOSS (Financial): 44 files
  - REMOVAL: 7 files
  - ADR: 1 file
",2025-09-20T18:27:29.215174+00:00,,,,,,,,,USD,COMPLETED,,[],[],[],False,"{'entities': ['Total Files', 'File Types'], 'file_type': 'markdown'}",PENDING,,2025-09-20T18:27:29.215176+00:00,2025-09-20T18:27:29.215177+00:00,document_index.md,9c12064ee7f36d778e5319437798aacb37043eefb3218e11bded6b1fa286eb51,UTC,medium,2025-09-20 18:27:29.215174+00:00
3a6e655d-4e34-4fe3-9147-02bf0bfd7883,md_document_index_2,Documents by Category,other,,,2025-09-20T18:27:29.215190+00:00,,,,,,,,,USD,COMPLETED,,[],[],[],False,"{'entities': [], 'file_type': 'markdown'}",PENDING,,2025-09-20T18:27:29.215192+00:00,2025-09-20T18:27:29.215193+00:00,document_index.md,9c12064ee7f36d778e5319437798aacb37043eefb3218e11bded6b1fa286eb51,UTC,medium,2025-09-20 18:27:29.215190+00:00
52c30c01-bc5b-45bc-9870-2375481b460e,md_document_index_3,PETITIONS & COURT FILINGS (18 files),other,,"| Date | Document | Type |
|------|----------|------|
| 2024-10-22 | PDOM | PDF |
| 2024-10-22 | Summons | PDF |
| 2024-10-23 | PT Memo w/ Exhibits | PDF |
| 2024-10-30 | Emergency Petition for TRO w/ Exhibits | PDF |
| 2024-10-30 | ER Notice of Motion | PDF |
| 2024-10-30 | Procedural Gap In Notification Re ER NOM | PDF |
| 2024-10-31 | Order re Emergency Petition for TRO | PDF |
| 2024-12-05 | Luisa FA signed | DOCX |
| 2024-12-23 | Verified Petition for Rule with Exhibits A-D | PDF |
| 2024-1",2025-09-20T18:27:29.215258+00:00,,,,,,,,,USD,COMPLETED,,[],[],[],False,"{'entities': ['Emergency Petition', 'Procedural Gap', 'In Notification', 'Emergency Petition', 'Verified Petition', 'Prospective Attorneys', 'Judge Robert', 'Emergency Motion'], 'file_type': 'markdown'}",PENDING,,2025-09-20T18:27:29.215259+00:00,2025-09-20T18:27:29.215260+00:00,document_index.md,9c12064ee7f36d778e5319437798aacb37043eefb3218e11bded6b1fa286eb51,UTC,medium,2025-09-20 18:27:29.215258+00:00
34675724-3958-4361-ab8e-5b24cb6f111e,md_document_index_4,GOVERNANCE & LLC DOCUMENTS (42 files),other,,"| Date | Document | Type |
|------|----------|------|
| 2022-07-15 | ARIBIA LLC Articles of Organization | PDF |
| 2022-07-15 | ARIBIA LLC EIN | PDF |
| 2022-08-01 | Aribia LLC Operating Agreement | PDF |
| 2023-04-22 | ARIBIA LLC Operating Agreement | PDF |
| 2023-05-09 | Unit Purchase Agreement Jones | PDF |
| 2023-06-01 | Property Management Agreement for Personal Properties | PDF |
| 2023-07-06 | Morada Mami Purchase Written Consent | PDF |
| 2024-03-01 | ARIBIA LLC Amendment to Operating Ag",2025-09-20T18:27:29.215376+00:00,,,,,,,,,USD,COMPLETED,,[],[],[],False,"{'entities': ['Operating Agreement', 'Operating Agreement', 'Unit Purchase', 'Agreement Jones', 'Property Management', 'Personal Properties', 'Morada Mami', 'Purchase Written', 'Operating Agreement', 'Unanimous Consent', 'Equity Grant', 'Unanimous Consent', 'Membership List', 'Operating Agreement', 'Unanimous Consent', 'New Member', 'Chicago Furnished', 'Condos Assumed', 'Name Status', 'Inter Series', 'Board Resolution', 'Jones Loan', 'Loan Agreement', 'Promissory Note', 'Valuation Statement', 'Unanimous Consent', 'Luisa Arias', 'Sale Unanimous', 'Written Consent', 'Operating Agreement', 'Initial Resolutions', 'Series Terminations', 'Member Resolution', 'Sharon Jones'], 'file_type': 'markdown'}",PENDING,,2025-09-20T18:27:29.215377+00:00,2025-09-20T18:27:29.215378+00:00,document_index.md,9c12064ee7f36d778e5319437798aacb37043eefb3218e11bded6b1fa286eb51,UTC,medium,2025-09-20 18:27:29.215376+00:00
5000d4ce-2e55-4146-a706-2c77e03ea67b,md_document_index_5,COMMUNICATIONS (77 files),other,,,2025-09-20T18:27:29.215390+00:00,,,,,,,,,USD,COMPLETED,,[],[],[],False,"{'entities': [], 'file_type': 'markdown'}",PENDING,,2025-09-20T18:27:29.215391+00:00,2025-09-20T18:27:29.215392+00:00,document_index.md,9c12064ee7f36d778e5319437798aacb37043eefb3218e11bded6b1fa286eb51,UTC,medium,2025-09-20 18:27:29.215390+00:00
f088a44d-246d-4988-bff7-4006c9050824,md_document_index_6,Email Communications,other,,"| Date | Subject | Type |
|------|---------|------|
| 2023-03-28 | Langon Law Group Estimate | PDF |
| 2023-07-13 | ARIBIA LLC 77,000 USD Transfer | PDF |
| 2024-08-08 | Proposal | PDF |
| 2024-08-23 | Formalizing Your Role and Next Steps for Aribia LLC | PDF |
| 2024-08-30 | Re: Formalizing Your Role and Next Steps | PDF |
| 2024-09-04 | Formal Review of Morada Mami | PDF |
| 2024-09-04 | Formal Memorandum - Medellin Property | PDF |
| 2024-09-05 | Re: Final Notice Phone Payment Due | PDF |
| 2",2025-09-20T18:27:29.215476+00:00,,,,,,,,,USD,COMPLETED,,[],[],[],False,"{'entities': ['Langon Law', 'Group Estimate', 'Formalizing Your', 'Next Steps', 'Formalizing Your', 'Next Steps', 'Formal Review', 'Morada Mami', 'Formal Memorandum', 'Medellin Property', 'Final Notice', 'Phone Payment', 'Formal Review', 'Medellin Property', 'Valuation Statement', 'Valuation Statement', 'Final Demand', 'Final Notice', 'Phone Payment', 'Dispute Regarding', 'Financial Obligations', 'Important Discussion', 'Formal Notice', 'Removal Luisa', 'Formal Notice', 'Removal Luisa', 'Final Notice', 'Delinquent Payments', 'Luisa Arias', 'Morada Mami', 'Resolution Needed', 'Final Offer'], 'file_type': 'markdown'}",PENDING,,2025-09-20T18:27:29.215478+00:00,2025-09-20T18:27:29.215479+00:00,document_index.md,9c12064ee7f36d778e5319437798aacb37043eefb3218e11bded6b1fa286eb51,UTC,medium,2025-09-20 18:27:29.215476+00:00
a7928882-8a5b-4b75-9690-07db060c0b71,md_document_index_7,WhatsApp/Text Messages,other,,"| Date | Description | Type |
|------|-------------|------|
| 2024-10-22 | Coordination Morada Mami Group Chat with Pilar & Camilo | TXT |
| 2024-10-00 | WhatsApp Messages to Pilar and Camilo | PDF |
| 2024-10-31 | Nick on the pressure of ale | PNG |
| 2024-11-19 | Screenshot conversation | PNG |
| Various | MLP Texts with Pilar & Camilo | JPEG |
| Various | Nick telling Luisa he has no more money | PNG |
| Various | Text ""that's why the houses are yours not mine"" | PNG |
",2025-09-20T18:27:29.215518+00:00,,,,,,,,,USD,COMPLETED,,[],[],[],False,"{'entities': ['Coordination Morada', 'Mami Group'], 'file_type': 'markdown'}",PENDING,,2025-09-20T18:27:29.215519+00:00,2025-09-20T18:27:29.215520+00:00,document_index.md,9c12064ee7f36d778e5319437798aacb37043eefb3218e11bded6b1fa286eb51,UTC,medium,2025-09-20 18:27:29.215518+00:00
fd39a75c-a0ab-4d0d-a8d3-b204745556ee,md_document_index_8,PROPERTY/TITLE DOCUMENTS (19 files),other,,"| Date | Property | Type |
|------|----------|------|
| 2008-02-13 | Escritura publica 1524 (Colombia) | PDF |
| 2019-09-01 | 541 W Addison Appraisal | PDF |
| 2019-11-21 | Wire for Closing Costs 541 W Addison | PDF |
| 2019-11-22 | 541 W Addison Deed | PDF |
| 2022-03-19 | 550 W Surf #504 Illinois Purchase Contract | PDF |
| 2022-04-22 | 550 W Surf #504 Deed | PDF |
| 2022-04-22 | Master Mortgage Statement | PDF |
| 2022-06-03 | 550 W Surf Apt 504 Deed | PDF |
| 2022-07-26 | 550 W Surf Apt 211 ",2025-09-20T18:27:29.215587+00:00,,,,,,,,,USD,COMPLETED,,[],[],[],False,"{'entities': ['Addison Appraisal', 'Closing Costs', 'Addison Deed', 'Illinois Purchase', 'Master Mortgage', 'Surf Apt', 'Surf Apt', 'Clarendon Ave', 'Mortgage Statement', 'Mr Cooper', 'Addison Mortgage', 'Loss Mitigation', 'Mr Cooper', 'Addison Mortgage', 'Payment Deferral', 'Nicholas Bianchi', 'Purchase Promise'], 'file_type': 'markdown'}",PENDING,,2025-09-20T18:27:29.215588+00:00,2025-09-20T18:27:29.215589+00:00,document_index.md,9c12064ee7f36d778e5319437798aacb37043eefb3218e11bded6b1fa286eb51,UTC,medium,2025-09-20 18:27:29.215587+00:00
68f1f07e-c347-4d39-a6ac-10c3ca842396,md_document_index_9,FINANCIAL RECORDS & LOSSES (44 files),other,,"| Date | Document | Type |
|------|----------|------|
| 2019-09-01 | USAA Checking Statement | PDF |
| 2022-03-05 | Bianchi Premarital Funds Bank Statement | PDF |
| 2022-03-19 | Earnest Money First Payment Proof | PDF |
| 2022-04-26 | 550 W Surf #504 USAA Wire Receipt $20,000 | PDF |
| 2022-05-05 | Bianchi Down Payment Cozy Castle Statement | PDF |
| 2022-07-05 | Wire for City Studio Earnest Money | PDF |
| 2022-07-12 | Premarital Personal Funds Bank Statement | PDF |
| 2023-03-01 | Bianchi USA",2025-09-20T18:27:29.215669+00:00,,,,,,,,,USD,COMPLETED,,[],[],[],False,"{'entities': ['Checking Statement', 'Bianchi Premarital', 'Funds Bank', 'Earnest Money', 'First Payment', 'Wire Receipt', 'Bianchi Down', 'Payment Cozy', 'Castle Statement', 'City Studio', 'Earnest Money', 'Premarital Personal', 'Funds Bank', 'Checking Statements', 'Medellin Purchase', 'Personal Worksheet', 'Fidelity Account', 'Huntington Bank', 'Transaction Report', 'Washing Machine', 'Fidelity Year', 'End Statement', 'Credit Memo', 'Loan Adjustment', 'Payment Due', 'Final Demand', 'Cozy Castle', 'Billing Memo', 'Colombian Account', 'Invoice Apostille', 'Pros Inc', '$20,000', '$17,820'], 'file_type': 'markdown'}",PENDING,,2025-09-20T18:27:29.215671+00:00,2025-09-20T18:27:29.215671+00:00,document_index.md,9c12064ee7f36d778e5319437798aacb37043eefb3218e11bded6b1fa286eb51,UTC,medium,2025-09-20 18:27:29.215669+00:00
